113.254.37.88 - - [29/Apr/2025:01:14:45 +0000] "GET /favicon.ico HTTP/1.1" 404 3863 "https://toolshop.sadnovice.com/cms/login.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
64.62.197.233 - - [29/Apr/2025:01:30:30 +0000] "GET / HTTP/1.1" 200 5211 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/120.0.6099.28 Safari/537.36"
64.62.197.228 - - [29/Apr/2025:01:37:51 +0000] "GET /favicon.ico HTTP/1.1" 404 3593 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"
64.62.197.240 - - [29/Apr/2025:01:38:52 +0000] "GET / HTTP/1.1" 200 5397 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/120.0.6099.28 Safari/537.36"
64.62.197.231 - - [29/Apr/2025:01:48:16 +0000] "GET /geoserver/web/ HTTP/1.1" 404 3593 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
104.248.47.149 - - [29/Apr/2025:01:51:06 +0000] "GET /ab2g HTTP/1.1" 404 3593 "-" "Mozilla/5.0 zgrab/0.x"
104.248.47.149 - - [29/Apr/2025:01:51:07 +0000] "GET /ab2h HTTP/1.1" 404 3593 "-" "Mozilla/5.0 zgrab/0.x"
104.248.47.149 - - [29/Apr/2025:01:51:07 +0000] "GET /alive.php HTTP/1.1" 404 3593 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
104.248.47.149 - - [29/Apr/2025:01:51:10 +0000] "GET / HTTP/1.0" 400 632 "-" "-"
104.248.47.149 - - [29/Apr/2025:01:51:10 +0000] "GET / HTTP/1.1" 200 5211 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
104.248.47.149 - - [29/Apr/2025:01:51:10 +0000] "GET / HTTP/1.0" 400 632 "-" "-"
104.248.47.149 - - [29/Apr/2025:01:51:11 +0000] "GET /t4 HTTP/1.1" 404 3593 "-" "Mozilla/5.0"
104.248.47.149 - - [29/Apr/2025:01:51:11 +0000] "GET / HTTP/1.0" 400 632 "-" "-"
104.248.47.149 - - [29/Apr/2025:01:51:11 +0000] "GET /favicon.ico HTTP/1.1" 404 3593 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
104.248.47.149 - - [29/Apr/2025:01:51:12 +0000] "GET / HTTP/1.1" 200 5211 "-" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 10.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)"
104.248.47.149 - - [29/Apr/2025:01:51:12 +0000] "GET /teorema505?t=1 HTTP/1.1" 404 3593 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
64.62.197.235 - - [29/Apr/2025:01:51:43 +0000] "GET /.git/config HTTP/1.1" 404 3593 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/92.0.4515.159 Safari/537.36"
196.251.71.106 - - [29/Apr/2025:02:02:31 +0000] "GET /.env HTTP/1.1" 404 3798 "-" "Mozilla/5.0 (X11; U; SunOS sun4m; en-US; rv:1.4b) Gecko/20030517 Mozilla Firebird/0.6"
185.242.226.117 - - [29/Apr/2025:02:16:18 +0000] "GET / HTTP/1.1" 200 5211 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
196.251.69.233 - - [29/Apr/2025:02:40:21 +0000] "POST /portal HTTP/1.1" 404 3798 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0"
42.200.159.206 - - [29/Apr/2025:02:43:14 +0000] "GET /favicon.ico HTTP/1.1" 404 3863 "https://toolshop.sadnovice.com/cms/productManagement.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:02:43:17 +0000] "GET /cms/login.html HTTP/1.1" 200 1776 "https://toolshop.sadnovice.com/cms/productManagement.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:02:43:17 +0000] "GET /cms/js/global.js HTTP/1.1" 200 1915 "https://toolshop.sadnovice.com/cms/login.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:02:43:17 +0000] "GET /cms/js/login.js HTTP/1.1" 200 1118 "https://toolshop.sadnovice.com/cms/login.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:02:43:23 +0000] "GET /img/favicon.ico HTTP/1.1" 304 595 "https://toolshop.sadnovice.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:02:43:43 +0000] "-" 408 323 "-" "-"
209.126.83.235 - - [29/Apr/2025:03:03:39 +0000] "GET / HTTP/1.1" 200 5416 "-" "Mozilla/5.0 (Knoppix; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"
209.126.83.235 - - [29/Apr/2025:03:03:39 +0000] "GET /img/favicon.ico HTTP/1.1" 200 33503 "-" "Mozilla/5.0 (Knoppix; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"
78.153.140.251 - - [29/Apr/2025:03:12:08 +0000] "GET /.env HTTP/1.1" 404 3664 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
78.153.140.251 - - [29/Apr/2025:03:12:08 +0000] "POST / HTTP/1.1" 200 5282 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
93.123.109.7 - - [29/Apr/2025:03:32:01 +0000] "GET /.git/config HTTP/1.1" 404 3811 "-" "Mozilla/5.0 (Linux; Android 7.0; PIC-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
42.200.159.206 - - [29/Apr/2025:03:33:23 +0000] "GET /cms/ HTTP/1.1" 200 4631 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:03:33:23 +0000] "GET /cms/assets/js/jquery.nicescroll.js HTTP/1.1" 404 523 "https://toolshop.sadnovice.com/cms/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:03:33:24 +0000] "GET /cms/component/header.html HTTP/1.1" 200 589 "https://toolshop.sadnovice.com/cms/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:03:33:24 +0000] "GET /cms/component/footer.html HTTP/1.1" 200 487 "https://toolshop.sadnovice.com/cms/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
42.200.159.206 - - [29/Apr/2025:03:33:24 +0000] "GET /cms/component/sidebar.html HTTP/1.1" 200 640 "https://toolshop.sadnovice.com/cms/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
